Date,Open,High,Low,Close,Adj Close,Volume
2017-10-04,161.899994,167.75,161.100006,167.149994,167.149994,289000
2017-10-05,168.149994,170.899994,166.600006,167.600006,167.600006,213700
2017-10-06,166.350006,167.0,164.350006,165.199997,165.199997,118000
2017-10-09,165.0,167.800003,164.800003,166.800003,166.800003,100100
2017-10-10,167.199997,168.5,164.649994,168.0,168.0,159700
2017-10-11,168.800003,171.399994,168.100006,171.149994,171.149994,238900
2017-10-12,170.300003,172.75,169.399994,172.300003,172.300003,115800
2017-10-13,172.75,175.0,172.300003,173.75,173.75,133800
2017-10-16,173.899994,177.5,173.649994,176.699997,176.699997,293100
2017-10-17,176.149994,180.0,174.949997,178.850006,178.850006,381200
2017-10-18,179.800003,180.149994,177.050003,178.600006,178.600006,196400
2017-10-19,178.399994,181.100006,177.600006,178.149994,178.149994,172400
2017-10-20,178.649994,178.649994,171.800003,172.850006,172.850006,205500
2017-10-23,172.25,175.75,171.949997,175.550003,175.550003,153400
2017-10-24,175.100006,178.449997,175.0,178.0,178.0,157500
2017-10-25,178.600006,181.0,176.100006,180.0,180.0,232200
2017-10-26,179.699997,181.199997,175.350006,176.050003,176.050003,311500
2017-10-27,174.25,174.699997,165.399994,167.25,167.25,455300
2017-10-30,167.25,173.199997,167.149994,172.0,172.0,253200
2017-10-31,171.899994,179.850006,171.199997,178.050003,178.050003,255100
2017-11-01,178.25,180.899994,176.800003,178.300003,178.300003,158800
2017-11-02,178.100006,178.550003,171.899994,174.699997,174.699997,155200
2017-11-03,174.699997,176.199997,173.300003,173.5,173.5,86500
2017-11-06,172.649994,175.100006,170.75,172.949997,172.949997,97000
2017-11-07,174.399994,176.350006,170.949997,173.649994,173.649994,104000
2017-11-08,173.25,175.850006,170.559998,174.75,174.75,86100
2017-11-09,174.050003,177.199997,174.050003,176.100006,176.100006,91000
2017-11-10,176.0,177.75,175.300003,176.399994,176.399994,112700
2017-11-13,168.199997,174.850006,168.050003,173.199997,173.199997,140800
2017-11-14,172.600006,173.25,170.350006,173.0,173.0,95600
2017-11-15,172.350006,172.550003,169.550003,170.199997,170.199997,125100
2017-11-16,170.75,174.550003,170.75,171.899994,171.899994,94300
2017-11-17,171.149994,176.100006,170.550003,174.600006,174.600006,109600
2017-11-20,174.850006,177.800003,174.850006,176.5,176.5,98600
2017-11-21,176.949997,179.100006,176.0,178.550003,178.550003,103000
2017-11-22,178.649994,178.649994,176.309998,177.149994,177.149994,70600
2017-11-24,177.5,179.550003,174.100006,177.699997,177.699997,44900
2017-11-27,177.949997,178.75,175.100006,178.050003,178.050003,55800
2017-11-28,178.050003,180.949997,176.25,180.600006,180.600006,117500
2017-11-29,180.699997,181.399994,177.179993,178.5,178.5,110800
2017-11-30,178.600006,180.25,174.16000400000001,179.850006,179.850006,107300
2017-12-01,180.300003,183.5,179.149994,182.25,182.25,85800
2017-12-04,184.0,189.399994,183.0,185.649994,185.649994,160800
